fiyat,oda_sayisi,metre_kare,bina_yasi,konut_Satılık Bungalov,konut_Satılık Daire,konut_Satılık Köşk,konut_Satılık Müstakil Ev,konut_Satılık Prefabrik,konut_Satılık Residence,konut_Satılık Villa,konut_Satılık Yazlık,konut_Satılık Çiftlik Evi
1550000,3,120 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827000,2,60 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4450000,8,350 ,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5125000,5,220 ,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2950000,4,200 ,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7375000,5,320 ,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5250000,5,250 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3950000,5,145 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590000,3,100 ,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400000,4,175 ,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61000000,10,1.000 ,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6850000,5,200 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500000,5,240 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3940000,4,170 ,26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170000,2,55 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5750000,5,220 ,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3850000,4,180 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5455000,5,220 ,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4749000,5,220 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480000,3,145 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4750000,5,220 ,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860000,4,120 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17400000,7,450 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17900000,6,532 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6450000,5,220 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750000,4,165 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4150000,4,195 ,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590000,3,100 ,30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5450000,4,160 ,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598000,4,165 ,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300000,4,141 ,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650000,3,105 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250000,4,175 ,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5250000,4,140 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750000,2,70 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865000,2,45 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3290000,2,159 ,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3400000,4,165 ,23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1390000,3,100 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,3,90 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,3,110 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10950000,7,250 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1675000,10,120 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8200000,4,143 ,35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4500000,4,205 ,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2450000,4,185 ,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,5,280 ,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25000000,7,400 ,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3750000,5,260 ,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6200000,4,170 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11250000,6,350 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35000000,8,500 ,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800000,4,140 ,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5175000,4,110 ,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2380000,4,130 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4475000,3,120 ,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5075000,5,190 ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3650000,3,78 ,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4750000,5,225 ,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10650000,5,330 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16000000,4,230 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2550000,4,150 ,24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550000,3,155 ,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2950000,4,175 ,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600000,4,135 ,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3700000,4,168 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170000,2,45 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250000,3,109 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6450000,5,198 ,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500000,5,240 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11250000,5,340 ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7200000,6,220 ,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
